コード,銘柄名
315A,グローバルＸ　銀行　高配当－日本株式　ＥＴＦ
316A,ｉＦｒｅｅＥＴＦ　ＦＡＮＧ＋
317A,エス・エム・エス・データテック
318A,ＶＩＸ短期先物指数ＥＴＦ
319A,技術承継機構
320A,Ｄ＆Ｉ
321A,ヒューマンステージホールディングス
322A,ヒメジ理化
323A,フライヤー
324A,ブッキングリゾート
325A,ＴＥＮＴＩＡＬ
326A,ａｅｒｏ　ｌａｂ　ｉｎｔｅｒｎａｔｉｏｎａｌ
328A,グローバルＸ　プライシングパワー・リーダーズ－日本株式　ＥＴＦ
329A,ジールアソシエイツ
330A,ＴａｌｅｎｔＸ
331A,メディックス
332A,ミーク
333A,テクノスマイル
334A,ビジュアル・プロセッシング・ジャパン
335A,ミライロ
336A,ダイナミックマッププラットフォーム
338A,ＺｅｎｍｕＴｅｃｈ
339A,プログレス・テクノロジーズ　グループ
340A,ジグザグ
341A,トヨコー
343A,ＩＡＣＥトラベル
345A,高配当成長　日本株（ネットリターン）ＥＴＮ
346A,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　半導体・半導体製造装置３５％キャップ指数連動型上場投信
347A,ＧＲＯＷＴＨ　ＰＯＷＥＲ
348A,ＭＡＸＩＳ読売３３３日本株上場投信
349A,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本グロース株式
350A,デジタルグリッド
351A,アクシスＩＴパートナーズ
352A,ＬＯＩＶＥ
354A,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株高配当５０指数
355A,ナウビレッジ
356A,グローバルＸ　Ｓ＆Ｐ５００　キャッシュフロー・トップ１００　ＥＴＦ
357A,エフアンドエフ
358A,ゼン・ランド
359A,ＮＥＸＴ　ＳＴＡＧＥ
360A,東証ＲＥＩＴ　Ｃｏｒｅ　ＥＴＦ
361A,リビングハウス
362A,エクシオホールディングス
363A,ｉＦｒｅｅＥＴＦ　英国ＦＴＳＥ１００
364A,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　配当貴族指数連動型上場投信
365A,伊澤タオル
366A,ウェルネス・コミュニケーションズ
367A,プリモグローバルホールディングス
368A,北里コーポレーション
369A,エータイ
370A,リバイブル
371A,デージーネット
372A,レント
373A,リップス
374A,樋口総合研究所
375A,ＹＡＫホールディングス
376A,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（７５％為替ヘッジあり）連動型上場投信
378A,ヒット
379A,グローバルＸ　Ｓ＆Ｐ５００　ＥＴＦ（ダイナミック・プロテクション）
380A,グローバルＸ　チャイナテック　ＥＴＦ
381A,ｉＦｒｅｅＥＴＦ　米国国債３－５年（為替ヘッジなし）
382A,ｉＦｒｅｅＥＴＦ　米国国債３－５年（為替ヘッジあり）
383A,ＭＡＸＩＳ　Ｓ＆Ｐ５００均等ウェイト上場投信
385A,山本通産
386A,みのや
387A,フラー
389A,八光オートメーション
392A,ｉシェアーズ　ＮＡＳＤＡＱ　トップ　３０　ＥＴＦ
393A,ＲｉｔａＸ
394A,業界改革厳選ＥＴＦテレビ業界
395A,業界改革厳選ＥＴＦ地銀
396A,業界改革厳選ＥＴＦ　ＲＥＩＴイベント・ドリブン
398A,リアルクオリティ
399A,上場インデックスファンド日経平均高配当株５０
401A,霞ヶ関ホテルリート投資法人
402A,アクセルスペースホールディングス
403A,北條組
404A,グローバルＸ　チャイナテック・トップ１０　ＥＴＦ
405A,コヤマ・ミライエ
407A,ＵＮＩＣＯＮホールディングス
408A,ｉシェアーズ　ＡＩ　グローバル・イノベーション　アクティブ　ＥＴＦ
409A,オリオンビール
410A,ＧＭＯコマース
411A,日本マリタイムバンク
412A,ＮＥＸＴ　ＦＵＮＤＳ　ＴＩＰ　ＦａｃｔＳｅｔ　台湾イノベイティブ・テクノロジー５０指数連動型上場投信
413A,ｉＦｒｅｅＥＴＦ　キャセイ台湾テックリーダー指数
419A,ラングローブ
424A,グローバルＸ　ゴールド　ＥＴＦ（為替ヘッジあり）
425A,グローバルＸ　ゴールド　ＥＴＦ
1301,極洋
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信
1308,上場インデックスファンドＴＯＰＩＸ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信
1326,ＳＰＤＲゴールド・シェア
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ
1330,上場インデックスファンド２２５
1332,ニッスイ
1333,マルハニチロ
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
1346,ＭＡＸＩＳ　日経２２５上場投信
1348,ＭＡＸＩＳ　トピックス上場投信
1349,ＡＢＦ汎アジア債券インデックス・ファンド
1356,ＴＯＰＩＸベア２倍上場投信
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信
1358,上場インデックスファンド日経レバレッジ指数
1360,日経平均ベア２倍上場投信
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数
1369,Ｏｎｅ　ＥＴＦ　日経２２５
1375,ユキグニファクトリー
1376,カネコ種苗
1377,サカタのタネ
1379,ホクト
1380,秋川牧園
1381,アクシーズ
1382,ホーブ
1383,ベルグアース
1384,ホクリヨウ
1397,ＳＭＤＡＭ　日経２２５上場投信
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ
1401,エムビーエス
1407,ウエストホールディングス
1414,ショーボンドホールディングス
1417,ミライト・ワン
1418,インターライフホールディングス
1419,タマホーム
1420,サンヨーホームズ
1429,日本アクア
1430,ファーストコーポレーション
1431,Ｌｉｂ　Ｗｏｒｋ
1432,動力
1433,ベステラ
1434,ＪＥＳＣＯホールディングス
1435,ｒｏｂｏｔ　ｈｏｍｅ
1436,グリーンエナジー＆カンパニー
1438,岐阜造園
1443,技研ホールディングス
1444,ニッソウ
1445,ひかりホールディングス
1446,キャンディル
1447,ＳＡＡＦホールディングス
1450,ＴＡＮＡＫＥＮ
1452,横浜ライト工業
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信
1473,Ｏｎｅ　ＥＴＦ　トピックス
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信
1481,上場インデックスファンド日本経済貢献株
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信
1486,上場インデックスファンド米国債券（為替ヘッジなし）
1487,上場インデックスファンド米国債券（為替ヘッジあり）
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）
1491,中外鉱業
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型
